ncaa_id,date,team,opponent,home_away,result,team_score,opponent_score,s,ms,kills,errors,total_attacks,hit_pct,assists,aces,s_err,digs,r_err,block_solos,block_assists,b_err,tb,pts.x,bhe.x,defensive_ms,defensive_kills,defensive_errors,defensive_total_attacks,defensive_hit_pct,defensive_assists,defensive_aces,defensive_s_err,defensive_digs,defensive_r_err,defensive_block_solos,defensive_block_assists,defensive_b_err,defensive_tb,pts.y,bhe.y
26172,2021-01-22,A&M-Corpus Christi,UTRGV,Home,W,3,0,3,0,48,10,117,0.325,45,3,7,50,4,3,12,0,9,60,1,0,33,20,110,0.118,30,4,3,46,3,3,0,1,3,40,1
26172,2021-01-23,A&M-Corpus Christi,UTSA,Home,W,3,1,4,0,66,16,160,0.313,61,4,7,65,3,4,10,0,9,79,NA,0,55,22,160,0.206,48,3,7,61,4,1,4,0,3,61,1
26172,2021-02-04,A&M-Corpus Christi,SFA,Home,L,2,3,5,0,71,27,182,0.242,66,10,12,69,9,2,2,0,3,84,3,0,59,16,154,0.279,54,9,6,65,10,5,14,1,12,80,2
26172,2021-02-06,A&M-Corpus Christi,Abilene Christian,Home,W,3,1,4,0,55,14,117,0.35,42,10,8,52,2,1,4,0,3,68,5,0,44,20,126,0.19,36,2,6,40,10,1,14,0,8,54,5
26172,2021-02-11,A&M-Corpus Christi,Northwestern St.,Away,W,3,0,3,0,39,16,120,0.192,32,6,4,50,3,4,2,0,5,50,NA,0,29,16,102,0.127,28,3,8,48,6,3,12,1,9,41,4
26172,2021-02-13,A&M-Corpus Christi,Central Ark.,Away,W,3,0,3,0,54,13,124,0.331,49,4,8,55,3,1,12,2,7,65,3,0,30,14,112,0.143,29,3,1,47,4,2,12,2,8,41,2
26172,2021-02-25,A&M-Corpus Christi,UIW,Away,W,3,1,4,0,68,10,148,0.392,55,2,10,67,1,1,8,0,5,75,NA,0,51,17,155,0.219,44,1,6,48,2,2,6,0,5,57,1
26172,2021-02-27,A&M-Corpus Christi,Southeastern La.,Home,L,2,3,5,0,62,22,189,0.212,57,6,5,90,6,2,14,1,9,77,2,0,65,29,197,0.183,59,6,12,85,6,8,8,3,12,83,NA
26172,2021-03-04,A&M-Corpus Christi,Sam Houston,Away,L,1,3,4,0,52,27,162,0.154,50,3,2,76,5,2,4,0,4,59,NA,0,60,15,161,0.28,57,5,9,70,3,1,16,0,9,74,NA
26172,2021-03-06,A&M-Corpus Christi,Houston Christian,Home,W,3,0,3,0,54,14,126,0.317,49,3,4,64,2,2,0,1,2,59,3,0,39,10,119,0.244,37,2,8,47,3,7,2,1,8,49,NA
26172,2021-03-10,A&M-Corpus Christi,Texas,Away,L,0,3,3,0,37,11,106,0.245,33,2,3,46,8,0,2,0,1,40,2,0,49,8,107,0.383,47,8,12,48,2,0,8,1,4,61,NA
26172,2021-03-18,A&M-Corpus Christi,Nicholls,Away,W,3,0,3,0,44,8,100,0.36,40,4,7,49,7,1,10,0,6,54,NA,0,35,17,108,0.167,30,7,6,39,4,1,6,0,4,46,NA
26172,2021-03-20,A&M-Corpus Christi,New Orleans,Away,W,3,0,3,0,47,3,90,0.489,39,6,7,46,4,2,6,0,5,58,5,0,21,18,89,0.034,21,4,3,31,6,0,4,1,2,27,1
26172,2021-03-25,A&M-Corpus Christi,McNeese,Home,W,3,0,3,0,45,18,127,0.213,43,2,6,64,2,5,10,0,10,57,NA,0,39,21,135,0.133,35,2,7,56,2,6,10,3,11,52,NA
26172,2021-03-27,A&M-Corpus Christi,Lamar University,Home,W,3,1,4,0,52,9,113,0.381,47,13,10,38,3,3,0,0,3,68,1,0,49,17,120,0.267,44,3,6,43,13,2,0,0,2,54,3
