ncaa_id,date,team,opponent,home_away,result,team_score,opponent_score,s,kills,errors,total_attacks,hit_pct,assists,aces,s_err,digs,ret_att,r_err,block_solos,block_assists,b_err,tb,pts,bhe.x,defensive_kills,defensive_errors,defensive_total_attacks,defensive_hit_pct,defensive_assists,defensive_aces,defensive_s_err,defensive_digs,defensive_ret_att,defensive_r_err,defensive_block_solos,defensive_block_assists,defensive_b_err,defensive_tb,defensive_pts,bhe.y
26172,2022-08-26,A&M-Corpus Christi,Nebraska,Away,L,0,3,3,20,22,97,-0.021,18,2,9,30,63,5,0,5,0,2.5,24.5,NA,38,7,80,0.388,30,5,10,41,33,2,0,24,1,12,55,1
26172,2022-08-26,A&M-Corpus Christi,Pepperdine ,Away,L,0,3,3,36,21,107,0.14,36,0,11,45,68,2,1,15,0,8.5,44.5,1,36,14,103,0.214,34,2,5,39,46,0,1,16,3,9,47,NA
26172,2022-08-27,A&M-Corpus Christi,Tulsa ,Away,L,2,3,5,75,22,199,0.266,72,7,9,103,104,2,1,10,4,6,88,3,75,17,213,0.272,69,2,8,89,100,7,4,8,0,8,85,NA
26172,2022-08-30,A&M-Corpus Christi,UTRGV,Away,L,2,3,5,78,24,198,0.273,73,2,9,81,115,4,2,4,2,4,84,1,79,20,188,0.314,73,4,5,88,99,2,2,10,1,7,90,NA
26172,2022-09-02,A&M-Corpus Christi,Sam Houston,Home,L,0,3,3,41,22,128,0.148,37,3,5,61,70,7,2,6,0,5,49,1,41,13,119,0.235,33,7,6,52,60,3,3,8,0,7,55,NA
26172,2022-09-03,A&M-Corpus Christi,SMU,Home,L,0,3,3,41,18,104,0.221,40,6,9,39,69,5,2,0,0,2,49,NA,43,10,96,0.344,39,5,5,38,54,6,3,4,2,5,53,NA
26172,2022-09-03,A&M-Corpus Christi,Indiana,Home,L,0,3,3,25,17,85,0.094,22,2,7,20,66,8,5,3,0,6.5,33.5,1,41,15,79,0.329,40,8,8,37,45,2,3,12,4,9,58,1
26172,2022-09-06,A&M-Corpus Christi,UTRGV,Home,L,0,3,3,34,22,95,0.126,34,3,8,28,66,5,4,8,0,8,45,1,39,13,84,0.31,37,5,7,31,51,3,6,8,0,10,54,NA
26172,2022-09-09,A&M-Corpus Christi,Texas Tech ,Away,L,0,3,3,33,20,91,0.143,29,3,4,30,69,9,0,6,0,3,39,1,39,11,83,0.337,31,9,5,33,50,3,1,12,3,7,55,1
26172,2022-09-10,A&M-Corpus Christi,Rice,Away,L,0,3,3,36,21,108,0.139,30,2,7,35,65,6,1,4,0,3,41,1,39,9,89,0.337,37,6,8,46,52,2,2,10,0,7,52,NA
26172,2022-09-10,A&M-Corpus Christi,Brown ,Away,L,2,3,5,69,29,181,0.221,67,4,11,65,99,3,1,10,1,6,79,NA,63,19,161,0.273,62,3,9,69,92,4,4,16,1,12,78,1
26172,2022-09-16,A&M-Corpus Christi,Arizona,Away,L,0,3,3,24,16,102,0.078,21,8,5,49,62,7,1,0,0,1,33,2,45,12,109,0.303,38,7,13,53,53,8,0,9,1,4.5,56.5,NA
26172,2022-09-16,A&M-Corpus Christi,CSUN ,Away,L,2,3,5,73,30,201,0.214,68,7,4,93,97,5,3,10,0,8,88,2,66,16,187,0.267,58,5,12,88,108,7,7,12,1,13,84,1
26172,2022-09-17,A&M-Corpus Christi,UTEP ,Away,L,1,3,4,29,28,125,0.008,25,10,10,38,77,7,2,4,0,4,43,3,40,21,103,0.184,39,7,10,56,66,10,5,16,0,13,60,4
26172,2022-09-22,A&M-Corpus Christi,New Orleans,Home,W,3,0,3,49,15,112,0.304,45,3,6,61,39,2,6,10,0,11,63,NA,15,21,99,-0.061,14,2,2,39,67,3,1,6,3,4,21,NA
26172,2022-09-24,A&M-Corpus Christi,Southeastern La.,Home,L,0,3,3,45,25,132,0.152,42,3,3,47,72,3,0,10,0,5,53,1,43,13,112,0.268,41,3,4,48,64,3,5,8,4,9,55,NA
26172,2022-09-27,A&M-Corpus Christi,Lamar University,Home,W,3,0,3,49,17,137,0.234,47,2,4,69,56,3,4,4,1,6,57,NA,33,18,131,0.115,31,3,5,58,69,2,2,4,3,4,40,NA
26172,2022-09-29,A&M-Corpus Christi,Northwestern St.,Away,W,3,2,5,73,24,172,0.285,56,7,12,61,85,1,0,10,1,5,85,NA,51,21,143,0.21,46,1,6,60,96,7,3,10,1,8,60,NA
26172,2022-10-01,A&M-Corpus Christi,Tex. A&M-Commerce,Away,W,3,0,3,53,19,113,0.301,50,7,8,50,57,2,3,4,1,5,65,NA,29,11,92,0.196,28,2,4,34,65,7,4,8,2,8,39,NA
26172,2022-10-06,A&M-Corpus Christi,McNeese,Away,L,2,3,5,61,32,180,0.161,59,8,12,75,96,3,3,8,0,7,76,NA,54,16,162,0.235,54,3,9,68,83,8,3,11,1,8.5,65.5,NA
26172,2022-10-08,A&M-Corpus Christi,UIW,Home,W,3,0,3,47,11,94,0.383,45,7,4,51,38,1,2,6,0,5,59,NA,26,12,94,0.149,25,1,7,30,69,7,2,0,1,2,29,1
26172,2022-10-13,A&M-Corpus Christi,Houston Christian,Home,W,3,0,3,51,16,132,0.265,44,7,7,61,53,1,2,0,1,2,60,NA,31,13,115,0.157,25,1,4,58,66,7,3,12,1,9,41,NA
26172,2022-10-15,A&M-Corpus Christi,Nicholls,Home,W,3,0,3,56,16,123,0.325,53,5,5,59,54,3,4,2,1,5,66,NA,31,11,105,0.19,30,3,2,40,69,5,1,8,2,5,39,NA
26172,2022-10-20,A&M-Corpus Christi,Southeastern La.,Away,L,1,3,4,52,23,140,0.207,46,4,8,65,83,6,3,8,2,7,63,3,50,21,150,0.193,48,6,7,60,78,4,3,4,3,5,61,NA
